,cytoID,Hematoxylin_Mean_nuclei,Hematoxylin_Std_dev_nuclei,Hematoxylin_Min_nuclei,Hematoxylin_Max_nuclei,Hematoxylin_Median_nuclei,Eosin_Mean_nuclei,Eosin_Std_dev_nuclei,Eosin_Min_nuclei,Eosin_Max_nuclei,Hue_Mean_nuclei,Saturation_Mean_nuclei,Saturation_Std_dev_nuclei,Saturation_Min_nuclei,Saturation_Max_nuclei,Saturation_Median_nuclei,Eosin_Median_nuclei,Area_µm^2_nuclei,Length_µm_cyto,Circularity_cyto,Solidity_cyto,Max_diameter_µm_cyto,Min_diameter_µm_cyto,Perimeter_µm_cyto,Hematoxylin_Mean_cytoonly,Hematoxylin_Std_dev_cytoonly,Hematoxylin_Min_cytoonly,Hematoxylin_Max_cytoonly,Hematoxylin_Median_cytoonly,Eosin_Mean_cytoonly,Eosin_Std_dev_cytoonly,Eosin_Min_cytoonly,Eosin_Max_cytoonly,Hue_Mean_cytoonly,Saturation_Mean_cytoonly,Saturation_Std_dev_cytoonly,Saturation_Min_cytoonly,Saturation_Max_cytoonly,Saturation_Median_cytoonly,Eosin_Median_cytoonly,Area_µm^2_cytoonly
1002,381,0.1845,0.0486,0.0307,0.3623,0.1825,0.001,0.0182,-0.0476,0.0511,0.2208,0.2472,0.0503,0.0254,0.3944,0.2515,0.0025,66.2905,42.7139,0.536,0.9568,12.3197,9.0915,42.71,0.0961,0.0615,-0.0063,0.3024,0.0885,0.0154,0.0124,-0.0258,0.0718,0.247,0.1181,0.0791,0.0,0.3562,0.1025,0.0165,11.5292
1003,59,0.6871,0.1752,0.0719,1.277,0.6915,0.7089,0.4186,-0.0035,1.5705,0.2603,0.8512,0.1327,0.1083,1.0,0.8785,0.5775,65.9092,39.9758,0.6071,0.9751,10.3813,9.7773,39.98,0.3273,0.2711,0.0045,1.1817,0.2275,0.2393,0.3769,-0.0949,1.5433,0.2469,0.4273,0.298,0.008,1.0,0.3425,0.0775,11.3014
1004,448,0.4917,0.1359,0.0035,1.0523,0.4805,0.4212,0.2527,-0.0147,1.5865,0.2697,0.7333,0.1269,0.0275,1.0,0.7385,0.3655,65.0248,40.2496,0.5981,0.9735,10.4953,9.7202,40.25,0.186,0.1896,0.0004,1.0347,0.1355,0.1303,0.2723,-0.0167,1.5625,0.2595,0.2935,0.2261,0.0,1.0,0.2535,0.0525,12.0829
1005,726,0.2924,0.0868,0.0324,0.6015,0.2915,0.2435,0.0654,0.0568,0.5643,0.2832,0.5672,0.098,0.1737,0.859,0.5735,0.2405,53.5564,46.5472,0.4437,0.9073,12.5248,8.8645,46.55,0.1277,0.1054,0.0122,0.5767,0.0745,0.1173,0.0722,0.0213,0.4901,0.3052,0.2898,0.1714,0.0128,0.8364,0.2415,0.0845,23.0434
1006,1097,0.6111,0.1569,0.1593,1.0666,0.5915,0.5988,0.3735,0.0314,1.5813,0.2642,0.8148,0.1295,0.262,1.0,0.8125,0.4555,62.7173,39.9758,0.6015,0.9732,10.5085,9.5833,39.98,0.2498,0.2049,0.0192,1.0666,0.1675,0.1659,0.2851,-0.0159,1.5467,0.2595,0.3805,0.233,0.0123,1.0,0.3195,0.0635,13.7711
1007,498,0.8037,0.1928,0.1403,2.1058,0.8175,0.7767,0.3846,-0.0623,1.516,0.2529,0.8926,0.114,0.1586,1.0,0.9345,0.7265,62.9887,39.702,0.6074,0.9748,10.4827,9.5443,39.7,0.3556,0.3252,0.0001,1.2445,0.2065,0.2628,0.4374,-0.0623,1.5276,0.2327,0.4174,0.3277,0.0,1.0,0.2965,0.0375,13.1994
1008,57,0.4071,0.1083,0.0553,0.8848,0.4055,0.357,0.1693,0.009,1.63,0.2766,0.6859,0.1205,0.1155,1.0,0.6945,0.3335,59.9143,40.7972,0.5744,0.9679,10.6267,9.6284,40.8,0.1066,0.0958,0.0001,0.74,0.0845,0.0538,0.096,-0.0216,1.5673,0.2727,0.1818,0.1721,0.0,1.0,0.1385,0.0255,16.1619
1009,83,0.6122,0.1688,0.1299,1.1375,0.5945,0.6255,0.3933,0.0322,1.6108,0.2654,0.8192,0.1318,0.2771,1.0,0.8235,0.4785,64.7791,39.4282,0.6148,0.9771,10.5429,9.6937,39.43,0.3241,0.2829,-0.0185,1.7144,0.2255,0.2734,0.4337,-0.0458,1.6108,0.2536,0.4317,0.3117,0.0039,1.0,0.3605,0.0765,11.2784
1010,168,0.8829,0.1612,0.1152,1.3974,0.9145,0.7435,0.3169,0.0011,1.4755,0.2461,0.9101,0.0926,0.2623,1.0,0.9395,0.7035,60.2818,40.2496,0.5881,0.974,10.5071,9.7544,40.25,0.3332,0.2308,-0.0036,1.1623,0.2805,0.1205,0.2552,-0.0298,1.4426,0.2339,0.399,0.2203,0.0084,1.0,0.3665,0.0405,15.5323
1011,211,0.7259,0.1725,0.1065,1.2573,0.7485,0.7307,0.4322,-0.0609,1.5218,0.2544,0.8582,0.1528,0.1598,1.0,0.9085,0.6505,47.158,42.7139,0.5196,0.9457,11.7084,9.4018,42.71,0.1876,0.141,-0.0072,1.0065,0.1505,0.0345,0.0724,-0.0871,1.1995,0.2487,0.2369,0.1499,0.0,0.9839,0.2195,0.0155,28.2811
